objectid,fire_year,discovery_doy,fire_size,latitude,longitude
1501661,2011,252,0.2,46.178509999999996,-87.31359
1501662,2011,253,1.0,46.60085,-87.4632
1501770,2011,279,0.75,46.315290000000005,-88.09527
1501771,2011,279,12.0,46.62353,-87.90823
1501772,2011,311,1.2,46.51939,-87.9792
1501773,2011,127,2.4,45.7079,-87.39863000000001
1501774,2011,137,1.1,45.68987,-87.70922
1501775,2011,137,0.2,45.68983,-87.70411
1501776,2011,236,1.0,45.65722,-87.43996
1501777,2011,251,0.5,45.96859,-87.54292
1501778,2011,282,8.0,45.830211,-87.353116
1501779,2011,99,4.4,43.558679999999995,-84.18645
1501885,2011,100,0.1,43.6419,-84.45942
1501886,2011,105,1.0,43.81256,-84.34876
1501887,2011,152,1.2,43.67337,-84.20898000000001
1501888,2011,210,0.2,43.71656,-84.48421
1501889,2011,286,8.7,43.6328,-84.50341999999999
1501890,2011,105,0.1,44.42685,-85.31785
1501891,2011,128,2.0,45.0324,-84.02271999999999
1501892,2011,261,2.0,45.079409999999996,-84.07315
1501968,2011,156,2.4,43.47659,-86.17433
1501969,2011,121,11.4,44.37056,-84.27301999999999
1501970,2011,105,0.1,43.87358,-85.38776999999999
1501971,2011,241,8.6,44.01956,-85.15769
1501972,2011,129,1.0,45.08124,-84.66948000000001
1501973,2011,130,0.2,45.06848,-84.72466
1501974,2011,137,2.0,44.91148,-84.7061
1502038,2011,142,0.1,45.110921999999995,-84.68737
1502039,2011,281,10.2,45.089009999999995,-84.38829
1502040,2011,282,0.5,45.0728,-84.79372
1502041,2011,105,11.2,45.249790000000004,-83.98592
1502042,2011,177,0.8,45.20712,-84.0972
1502043,2011,129,0.2,44.33495,-84.8538
1502044,2011,141,0.2,44.28148,-84.49384
1502045,2011,152,0.1,44.38517,-84.61312
1502046,2011,223,0.5,44.1997,-84.78989
1502047,2011,184,0.1,46.43805,-86.071905
1570683,2012,167,0.1,44.04166667,-86.11972222
1570684,2012,198,0.25,43.42805556,-85.75527778
1570685,2012,98,0.1,43.45361111,-85.67083333
1570686,2012,114,3.0,43.44666667,-85.64333333
1570687,2012,334,0.1,43.45416667,-85.58555556
1570688,2012,141,21.0,43.69972222,-85.87611111
1570689,2012,299,0.1,43.95416667,-86.10083333
1570690,2012,145,0.1,43.6125,-85.65277778
1570691,2012,73,0.8,43.5225,-85.84972222
1570692,2012,85,0.1,44.31861111,-83.67472222
1570693,2012,149,0.1,43.47166667,-85.68277778
1570694,2012,104,0.1,44.33222222,-83.66888889
1570695,2012,179,0.1,44.15277778,-86.31638889
1570696,2012,302,0.1,44.28111111,-83.47222222
1570697,2012,104,0.3,44.50333333,-83.79972222
1570698,2012,193,0.25,43.88694444,-85.79444444
1570699,2012,299,0.1,44.29444444,-85.77277778
1570700,2012,182,0.1,44.50416667,-84.12777778
1570701,2012,132,0.25,44.05444444,-85.86638889
1570702,2012,302,0.1,44.38055556,-83.76916667
1570703,2012,99,0.1,43.71222222,-85.86638889
1570704,2012,238,0.25,44.17805556,-86.35861111
1570705,2012,75,0.25,43.87722222,-85.85138889
1570706,2012,112,0.1,44.11416667,-85.97138889
1570707,2012,145,0.25,44.64277778,-84.24333333
1570708,2012,133,0.25,43.9,-85.73305556
1570709,2012,285,0.1,44.18777778,-83.7225
